experimento,fitness
PSO V3-STD,31.0
PSO V3-STD,33.0
PSO V3-STD,34.0
PSO V3-STD,34.0
PSO V3-STD,32.0
PSO V3-STD,33.0
PSO V3-STD,32.0
PSO V3-STD,32.0
PSO V3-STD,33.0
PSO V3-STD,34.0
PSO V3-STD,33.0
PSO V3-STD,33.0
PSO V3-STD,33.0
PSO V3-STD,32.0
PSO V3-STD,34.0
PSO V3-STD,33.0
PSO V3-STD,33.0
PSO V3-STD,34.0
PSO V3-STD,33.0
PSO V3-STD,33.0
PSO V3-STD,32.0
PSO V3-STD,33.0
PSO V3-STD,34.0
PSO V3-STD,34.0
PSO V3-STD,32.0
PSO V3-STD,33.0
PSO V3-STD,34.0
PSO V3-STD,32.0
PSO V3-STD,33.0
PSO V3-STD,32.0
PSO V3-STD,31.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,34.0
PSO V3-STD_LOG,34.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,30.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,31.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,33.0
PSO V3-STD_LOG,32.0
PSO V3-STD_LOG,31.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,33.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,33.0
PSO V3-STD_PIECE,33.0
PSO V3-STD_PIECE,33.0
PSO V3-STD_PIECE,31.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,32.0
PSO V3-STD_PIECE,33.0
PSO V3-STD_PIECE,33.0
