experimento,fitness
PSO V3-STD,171.0
PSO V3-STD,170.0
PSO V3-STD,171.0
PSO V3-STD,176.0
PSO V3-STD,168.0
PSO V3-STD,170.0
PSO V3-STD,162.0
PSO V3-STD,177.0
PSO V3-STD,162.0
PSO V3-STD,171.0
PSO V3-STD,172.0
PSO V3-STD,173.0
PSO V3-STD,166.0
PSO V3-STD,168.0
PSO V3-STD,165.0
PSO V3-STD,175.0
PSO V3-STD,170.0
PSO V3-STD,170.0
PSO V3-STD,173.0
PSO V3-STD,164.0
PSO V3-STD,166.0
PSO V3-STD,167.0
PSO V3-STD,167.0
PSO V3-STD,173.0
PSO V3-STD,174.0
PSO V3-STD,168.0
PSO V3-STD,180.0
PSO V3-STD,176.0
PSO V3-STD,168.0
PSO V3-STD,174.0
PSO V3-STD,173.0
PSO V3-STD_LOG,173.0
PSO V3-STD_LOG,172.0
PSO V3-STD_LOG,172.0
PSO V3-STD_LOG,180.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,173.0
PSO V3-STD_LOG,175.0
PSO V3-STD_LOG,170.0
PSO V3-STD_LOG,170.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,168.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,174.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,177.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,166.0
PSO V3-STD_LOG,168.0
PSO V3-STD_LOG,173.0
PSO V3-STD_LOG,172.0
PSO V3-STD_LOG,172.0
PSO V3-STD_LOG,174.0
PSO V3-STD_LOG,171.0
PSO V3-STD_LOG,174.0
PSO V3-STD_LOG,175.0
PSO V3-STD_LOG,169.0
PSO V3-STD_LOG,169.0
PSO V3-STD_LOG,172.0
PSO V3-STD_LOG,169.0
PSO V3-STD_LOG,173.0
PSO V3-STD_LOG,169.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_PIECE,169.0
PSO V3-STD_PIECE,171.0
PSO V3-STD_PIECE,171.0
PSO V3-STD_PIECE,174.0
PSO V3-STD_PIECE,168.0
PSO V3-STD_PIECE,171.0
PSO V3-STD_PIECE,178.0
PSO V3-STD_PIECE,171.0
PSO V3-STD_PIECE,180.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_PIECE,167.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_PIECE,169.0
PSO V3-STD_PIECE,174.0
PSO V3-STD_PIECE,176.0
PSO V3-STD_PIECE,174.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_PIECE,172.0
PSO V3-STD_PIECE,175.0
PSO V3-STD_PIECE,175.0
PSO V3-STD_PIECE,174.0
PSO V3-STD_PIECE,169.0
PSO V3-STD_PIECE,163.0
PSO V3-STD_PIECE,169.0
PSO V3-STD_PIECE,170.0
PSO V3-STD_PIECE,174.0
PSO V3-STD_PIECE,170.0
PSO V3-STD_PIECE,179.0
PSO V3-STD_PIECE,173.0
PSO V3-STD_SINE,177.0
PSO V3-STD_SINE,172.0
PSO V3-STD_SINE,173.0
PSO V3-STD_SINE,168.0
PSO V3-STD_SINE,180.0
PSO V3-STD_SINE,162.0
PSO V3-STD_SINE,176.0
PSO V3-STD_SINE,175.0
PSO V3-STD_SINE,175.0
PSO V3-STD_SINE,170.0
PSO V3-STD_SINE,171.0
PSO V3-STD_SINE,172.0
PSO V3-STD_SINE,172.0
PSO V3-STD_SINE,173.0
PSO V3-STD_SINE,174.0
PSO V3-STD_SINE,173.0
PSO V3-STD_SINE,168.0
PSO V3-STD_SINE,166.0
PSO V3-STD_SINE,171.0
PSO V3-STD_SINE,165.0
PSO V3-STD_SINE,169.0
PSO V3-STD_SINE,172.0
PSO V3-STD_SINE,175.0
PSO V3-STD_SINE,171.0
PSO V3-STD_SINE,169.0
PSO V3-STD_SINE,166.0
PSO V3-STD_SINE,171.0
PSO V3-STD_SINE,166.0
PSO V3-STD_SINE,177.0
PSO V3-STD_SINE,172.0
PSO V3-STD_SINE,170.0
PSO V3-STD_SINGER,166.0
PSO V3-STD_SINGER,168.0
PSO V3-STD_SINGER,165.0
PSO V3-STD_SINGER,166.0
PSO V3-STD_SINGER,165.0
PSO V3-STD_SINGER,163.0
PSO V3-STD_SINGER,166.0
