experimento,fitness
PSO V3-STD,46.0
PSO V3-STD,47.0
PSO V3-STD,48.0
PSO V3-STD,46.0
PSO V3-STD,52.0
PSO V3-STD,49.0
PSO V3-STD,48.0
PSO V3-STD,46.0
PSO V3-STD,50.0
PSO V3-STD,46.0
PSO V3-STD,45.0
PSO V3-STD,47.0
PSO V3-STD,47.0
PSO V3-STD,48.0
PSO V3-STD,46.0
PSO V3-STD,45.0
PSO V3-STD,44.0
PSO V3-STD,50.0
PSO V3-STD,49.0
PSO V3-STD,45.0
PSO V3-STD,45.0
PSO V3-STD,47.0
PSO V3-STD,45.0
PSO V3-STD,43.0
PSO V3-STD,47.0
PSO V3-STD,50.0
PSO V3-STD,51.0
PSO V3-STD,47.0
PSO V3-STD,49.0
PSO V3-STD,45.0
PSO V3-STD,47.0
PSO V3-STD_LOG,47.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,50.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,48.0
PSO V3-STD_LOG,45.0
PSO V3-STD_LOG,49.0
PSO V3-STD_LOG,48.0
PSO V3-STD_LOG,49.0
PSO V3-STD_LOG,49.0
PSO V3-STD_LOG,45.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,47.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,43.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,46.0
PSO V3-STD_LOG,45.0
PSO V3-STD_LOG,43.0
PSO V3-STD_LOG,48.0
PSO V3-STD_LOG,48.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,45.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,49.0
PSO V3-STD_LOG,42.0
PSO V3-STD_LOG,50.0
PSO V3-STD_LOG,47.0
PSO V3-STD_LOG,48.0
PSO V3-STD_LOG,46.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,47.0
PSO V3-STD_PIECE,49.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,50.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,49.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,51.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_PIECE,44.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,49.0
PSO V3-STD_PIECE,45.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_PIECE,46.0
PSO V3-STD_PIECE,44.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_PIECE,47.0
PSO V3-STD_PIECE,48.0
PSO V3-STD_SINE,43.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,48.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,42.0
PSO V3-STD_SINE,44.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,45.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,44.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,43.0
PSO V3-STD_SINE,43.0
PSO V3-STD_SINE,48.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,50.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,41.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,46.0
PSO V3-STD_SINE,44.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,50.0
PSO V3-STD_SINE,45.0
PSO V3-STD_SINE,47.0
PSO V3-STD_SINE,49.0
PSO V3-STD_SINE,50.0
PSO V3-STD_SINE,48.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,45.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,47.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,46.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,45.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,45.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,43.0
PSO V3-STD_SINGER,44.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINGER,46.0
PSO V3-STD_SINGER,42.0
PSO V3-STD_SINU,43.0
PSO V3-STD_SINU,41.0
PSO V3-STD_SINU,40.0
PSO V3-STD_SINU,41.0
PSO V3-STD_SINU,43.0
PSO V3-STD_SINU,43.0
