experimento,fitness
PSO V3-STD,30.0
PSO V3-STD,29.0
PSO V3-STD,30.0
PSO V3-STD,31.0
PSO V3-STD,28.0
PSO V3-STD,27.0
PSO V3-STD,30.0
PSO V3-STD,29.0
PSO V3-STD,27.0
PSO V3-STD,30.0
PSO V3-STD,28.0
PSO V3-STD,30.0
PSO V3-STD,29.0
PSO V3-STD,29.0
PSO V3-STD,29.0
PSO V3-STD,31.0
PSO V3-STD,28.0
PSO V3-STD,27.0
PSO V3-STD,28.0
PSO V3-STD,28.0
PSO V3-STD,29.0
PSO V3-STD,28.0
PSO V3-STD,29.0
PSO V3-STD,24.0
PSO V3-STD,29.0
PSO V3-STD,30.0
PSO V3-STD,28.0
PSO V3-STD,28.0
PSO V3-STD,29.0
PSO V3-STD,28.0
PSO V3-STD,28.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,30.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,26.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,29.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,30.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,28.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,27.0
PSO V3-STD_LOG,29.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,30.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,30.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,26.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,29.0
PSO V3-STD_PIECE,31.0
PSO V3-STD_PIECE,28.0
PSO V3-STD_PIECE,27.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,27.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,31.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,30.0
PSO V3-STD_SINE,27.0
PSO V3-STD_SINE,30.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,30.0
PSO V3-STD_SINE,27.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,26.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,30.0
PSO V3-STD_SINE,28.0
PSO V3-STD_SINE,30.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,29.0
PSO V3-STD_SINE,27.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,27.0
PSO V3-STD_SINGER,27.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,25.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,26.0
PSO V3-STD_SINGER,26.0
