experimento,fitness
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,22.0
PSO V3-STD,21.0
PSO V3-STD,19.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,22.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD,21.0
PSO V3-STD,20.0
PSO V3-STD,21.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,19.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,19.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,19.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,19.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,21.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_LOG,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,22.0
PSO V3-STD_PIECE,22.0
PSO V3-STD_PIECE,22.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,19.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,20.0
PSO V3-STD_PIECE,21.0
PSO V3-STD_SINE,21.0
PSO V3-STD_SINE,20.0
PSO V3-STD_SINE,20.0
PSO V3-STD_SINE,21.0
PSO V3-STD_SINE,20.0
