experimento,fitness
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,12.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,12.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_LOG,11.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,11.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_PIECE,12.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,11.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,12.0
PSO V3-STD_SINE,12.0
