iter,fitness,time,XPL,XPT,DIV
0,1472.0,0.059,100.0,0.0,0.475
1,755.0,0.506,46.74,53.26,0.222
2,356.0,0.51,23.16,76.84,0.11
3,164.0,0.887,11.37,88.63,0.054
4,90.0,1.942,7.16,92.84,0.034
5,62.0,2.32,5.05,94.95,0.024
6,48.0,2.59,4.21,95.79,0.02
7,45.0,2.288,2.95,97.05,0.014
8,44.0,2.183,2.53,97.47,0.012
9,44.0,1.979,1.68,98.32,0.008
10,44.0,1.861,0.84,99.16,0.004
11,44.0,1.92,0.84,99.16,0.004
12,44.0,1.861,1.26,98.74,0.006
13,43.0,1.873,1.05,98.95,0.005
14,43.0,1.907,0.84,99.16,0.004
15,43.0,1.83,1.26,98.74,0.006
16,43.0,1.843,0.84,99.16,0.004
17,43.0,1.91,1.05,98.95,0.005
18,43.0,1.88,1.05,98.95,0.005
19,43.0,1.829,0.84,99.16,0.004
20,43.0,1.927,1.05,98.95,0.005
21,43.0,1.918,1.26,98.74,0.006
