iter,fitness,time,XPL,XPT,DIV
0,133.0,0.001,100.0,0.0,0.471
1,53.0,0.185,39.49,60.51,0.186
2,34.0,0.483,26.11,73.89,0.123
3,30.0,0.624,24.2,75.8,0.114
4,29.0,0.65,23.78,76.22,0.112
5,28.0,0.59,20.17,79.83,0.095
6,28.0,0.68,21.23,78.77,0.1
7,28.0,0.551,17.62,82.38,0.083
8,28.0,0.551,18.68,81.32,0.088
9,28.0,0.473,13.59,86.41,0.064
10,28.0,0.504,16.77,83.23,0.079
11,28.0,0.551,17.41,82.59,0.082
12,28.0,0.499,15.71,84.29,0.074
13,28.0,0.444,11.89,88.11,0.056
14,28.0,0.514,15.71,84.29,0.074
15,28.0,0.59,19.75,80.25,0.093
16,28.0,0.606,18.68,81.32,0.088
17,28.0,0.583,18.68,81.32,0.088
18,28.0,0.61,18.47,81.53,0.087
19,28.0,0.599,21.87,78.13,0.103
20,28.0,0.613,19.11,80.89,0.09
21,28.0,0.631,21.23,78.77,0.1
22,28.0,0.696,21.66,78.34,0.102
23,28.0,0.654,18.05,81.95,0.085
24,28.0,0.674,18.9,81.1,0.089
25,28.0,0.56,14.86,85.14,0.07
26,28.0,0.613,17.83,82.17,0.084
27,27.0,0.547,15.5,84.5,0.073
28,27.0,0.621,18.26,81.74,0.086
29,27.0,0.557,17.2,82.8,0.081
30,27.0,0.606,19.32,80.68,0.091
31,27.0,0.6,19.11,80.89,0.09
32,27.0,0.508,13.59,86.41,0.064
33,27.0,0.624,19.11,80.89,0.09
34,27.0,0.543,16.35,83.65,0.077
35,27.0,0.498,15.29,84.71,0.072
36,27.0,0.525,14.44,85.56,0.068
37,27.0,0.464,12.53,87.47,0.059
38,27.0,0.497,14.23,85.77,0.067
39,27.0,0.562,16.77,83.23,0.079
40,27.0,0.528,14.65,85.35,0.069
41,27.0,0.529,15.5,84.5,0.073
42,27.0,0.555,16.14,83.86,0.076
43,27.0,0.518,14.01,85.99,0.066
44,27.0,0.533,14.86,85.14,0.07
45,27.0,0.476,12.31,87.69,0.058
46,27.0,0.471,13.16,86.84,0.062
47,27.0,0.43,10.83,89.17,0.051
48,27.0,0.482,14.65,85.35,0.069
49,27.0,0.472,13.38,86.62,0.063
50,27.0,0.531,17.41,82.59,0.082
51,27.0,0.514,16.56,83.44,0.078
52,27.0,0.499,15.71,84.29,0.074
53,27.0,0.465,13.16,86.84,0.062
54,27.0,0.457,11.04,88.96,0.052
55,27.0,0.452,9.55,90.45,0.045
56,27.0,0.452,13.16,86.84,0.062
57,27.0,0.483,11.89,88.11,0.056
58,27.0,0.531,15.92,84.08,0.075
59,27.0,0.582,18.9,81.1,0.089
60,26.0,0.537,15.07,84.93,0.071
61,24.0,0.564,13.16,86.84,0.062
62,24.0,0.433,9.13,90.87,0.043
63,23.0,0.516,10.19,89.81,0.048
64,23.0,0.506,10.19,89.81,0.048
65,23.0,0.451,9.34,90.66,0.044
66,23.0,0.462,9.55,90.45,0.045
