iter,fitness,time,XPL,XPT,DIV
0,551.0,5.851,100.0,0.0,0.475
1,443.0,25.792,68.21,31.79,0.324
2,412.0,26.184,48.21,51.79,0.229
3,399.0,26.162,41.68,58.32,0.198
4,394.0,26.748,37.05,62.95,0.176
5,387.0,25.738,31.58,68.42,0.15
6,382.0,22.519,20.63,79.37,0.098
7,381.0,22.213,20.21,79.79,0.096
8,377.0,21.892,19.16,80.84,0.091
9,375.0,21.543,17.89,82.11,0.085
10,375.0,22.531,19.58,80.42,0.093
11,375.0,21.968,17.26,82.74,0.082
12,375.0,22.127,17.89,82.11,0.085
13,373.0,21.067,16.42,83.58,0.078
14,373.0,21.805,16.63,83.37,0.079
15,373.0,21.344,16.0,84.0,0.076
16,373.0,21.097,16.42,83.58,0.078
17,373.0,20.836,18.11,81.89,0.086
18,373.0,22.202,19.16,80.84,0.091
19,373.0,21.589,18.11,81.89,0.086
20,370.0,20.76,13.89,86.11,0.066
21,370.0,20.796,14.32,85.68,0.068
22,370.0,21.413,16.21,83.79,0.077
23,370.0,22.041,15.58,84.42,0.074
24,370.0,22.422,16.21,83.79,0.077
25,370.0,23.095,16.63,83.37,0.079
26,370.0,21.286,16.21,83.79,0.077
27,370.0,22.566,16.0,84.0,0.076
28,370.0,21.937,14.53,85.47,0.069
29,370.0,20.782,15.37,84.63,0.073
