iter,fitness,time,XPL,XPT,DIV
0,2444.0,0.086,100.0,0.0,0.475
1,1219.0,0.83,46.32,53.68,0.22
2,616.0,0.828,22.74,77.26,0.108
3,296.0,0.814,11.16,88.84,0.053
4,135.0,0.863,5.47,94.53,0.026
5,71.0,0.844,2.53,97.47,0.012
6,32.0,1.455,1.47,98.53,0.007
7,22.0,2.669,1.26,98.74,0.006
8,19.0,3.084,1.26,98.74,0.006
9,18.0,3.104,1.05,98.95,0.005
10,18.0,3.14,1.05,98.95,0.005
11,18.0,2.621,0.63,99.37,0.003
12,18.0,2.513,0.42,99.58,0.002
13,18.0,2.499,0.42,99.58,0.002
14,18.0,2.438,0.42,99.58,0.002
15,18.0,2.198,0.42,99.58,0.002
16,18.0,2.518,0.42,99.58,0.002
17,18.0,2.315,0.21,99.79,0.001
18,18.0,2.15,0.21,99.79,0.001
19,18.0,2.216,0.21,99.79,0.001
20,18.0,2.532,0.42,99.58,0.002
21,18.0,2.328,0.21,99.79,0.001
22,18.0,2.676,0.84,99.16,0.004
23,18.0,2.376,0.63,99.37,0.003
24,18.0,2.282,0.21,99.79,0.001
25,18.0,2.421,0.42,99.58,0.002
26,18.0,2.28,0.42,99.58,0.002
27,18.0,2.327,0.21,99.79,0.001
28,18.0,2.523,0.21,99.79,0.001
29,18.0,2.793,0.63,99.37,0.003
30,18.0,2.264,0.21,99.79,0.001
31,18.0,2.235,0.21,99.79,0.001
32,18.0,2.78,0.63,99.37,0.003
33,18.0,2.43,0.42,99.58,0.002
34,18.0,2.569,0.21,99.79,0.001
35,18.0,2.212,0.21,99.79,0.001
36,18.0,3.303,0.42,99.58,0.002
37,18.0,2.649,0.21,99.79,0.001
38,18.0,2.124,0.21,99.79,0.001
39,18.0,2.034,0.21,99.79,0.001
40,18.0,2.679,0.42,99.58,0.002
41,18.0,2.435,0.42,99.58,0.002
42,18.0,2.575,0.42,99.58,0.002
43,18.0,2.452,0.42,99.58,0.002
44,18.0,2.13,0.21,99.79,0.001
45,18.0,2.406,0.42,99.58,0.002
46,18.0,2.598,0.63,99.37,0.003
47,18.0,2.691,0.42,99.58,0.002
48,18.0,2.449,0.42,99.58,0.002
49,18.0,2.466,0.42,99.58,0.002
50,18.0,2.316,0.21,99.79,0.001
51,18.0,2.509,0.21,99.79,0.001
52,18.0,2.993,0.42,99.58,0.002
53,18.0,3.274,0.63,99.37,0.003
54,18.0,2.865,0.42,99.58,0.002
55,18.0,2.547,0.21,99.79,0.001
56,18.0,2.697,0.21,99.79,0.001
57,18.0,2.364,0.21,99.79,0.001
58,18.0,2.085,0.21,99.79,0.001
59,18.0,2.2,0.0,100.0,0.0
60,18.0,2.185,0.21,99.79,0.001
61,18.0,2.507,0.42,99.58,0.002
62,18.0,2.698,0.21,99.79,0.001
63,18.0,2.253,0.42,99.58,0.002
64,18.0,2.195,0.21,99.79,0.001
65,18.0,2.322,0.21,99.79,0.001
66,18.0,2.424,0.42,99.58,0.002
67,18.0,2.278,0.42,99.58,0.002
68,18.0,2.381,0.42,99.58,0.002
69,18.0,2.145,0.21,99.79,0.001
70,18.0,2.339,0.21,99.79,0.001
71,18.0,2.4,0.21,99.79,0.001
72,18.0,3.295,0.21,99.79,0.001
73,18.0,2.936,0.21,99.79,0.001
74,18.0,2.804,0.42,99.58,0.002
75,18.0,2.581,0.21,99.79,0.001
76,18.0,2.474,0.21,99.79,0.001
77,18.0,2.403,0.21,99.79,0.001
78,18.0,2.5,0.21,99.79,0.001
79,18.0,2.621,0.42,99.58,0.002
80,18.0,2.241,0.42,99.58,0.002
81,18.0,2.343,0.21,99.79,0.001
82,18.0,2.351,0.42,99.58,0.002
83,18.0,2.182,0.21,99.79,0.001
84,18.0,2.955,0.42,99.58,0.002
85,18.0,3.29,0.63,99.37,0.003
86,18.0,2.684,0.42,99.58,0.002
87,18.0,2.346,0.42,99.58,0.002
88,18.0,2.261,0.21,99.79,0.001
89,18.0,2.166,0.21,99.79,0.001
90,18.0,2.193,0.21,99.79,0.001
91,18.0,2.325,0.21,99.79,0.001
92,18.0,2.289,0.21,99.79,0.001
93,18.0,2.591,0.63,99.37,0.003
94,18.0,2.387,0.42,99.58,0.002
95,18.0,2.246,0.21,99.79,0.001
96,18.0,2.236,0.42,99.58,0.002
97,18.0,2.218,0.42,99.58,0.002
98,18.0,2.024,0.21,99.79,0.001
99,18.0,1.992,0.21,99.79,0.001
100,18.0,2.096,0.0,100.0,0.0
101,18.0,2.23,0.42,99.58,0.002
102,18.0,2.259,0.21,99.79,0.001
103,18.0,2.27,0.42,99.58,0.002
104,18.0,2.303,0.42,99.58,0.002
105,18.0,2.136,0.21,99.79,0.001
106,18.0,2.325,0.42,99.58,0.002
107,18.0,2.463,0.63,99.37,0.003
108,18.0,2.512,0.42,99.58,0.002
109,18.0,1.985,0.21,99.79,0.001
110,18.0,2.226,0.21,99.79,0.001
111,18.0,2.194,0.21,99.79,0.001
112,18.0,2.079,0.21,99.79,0.001
113,18.0,2.192,0.21,99.79,0.001
114,18.0,2.344,0.42,99.58,0.002
115,18.0,2.057,0.21,99.79,0.001
116,18.0,2.397,0.42,99.58,0.002
117,18.0,2.152,0.21,99.79,0.001
118,18.0,2.53,0.42,99.58,0.002
119,18.0,2.178,0.21,99.79,0.001
120,18.0,2.698,0.63,99.37,0.003
121,18.0,2.822,0.84,99.16,0.004
122,18.0,2.939,0.42,99.58,0.002
123,18.0,2.522,0.42,99.58,0.002
124,18.0,2.474,0.42,99.58,0.002
125,18.0,2.86,0.21,99.79,0.001
126,18.0,3.158,0.21,99.79,0.001
127,18.0,2.717,0.21,99.79,0.001
128,18.0,2.664,0.42,99.58,0.002
129,18.0,2.315,0.0,100.0,0.0
130,18.0,2.563,0.63,99.37,0.003
131,18.0,2.147,0.21,99.79,0.001
132,18.0,2.589,0.63,99.37,0.003
133,18.0,2.24,0.42,99.58,0.002
134,18.0,2.633,0.63,99.37,0.003
135,18.0,2.361,0.21,99.79,0.001
136,18.0,2.483,0.42,99.58,0.002
137,18.0,2.35,0.42,99.58,0.002
138,18.0,2.507,0.42,99.58,0.002
139,18.0,2.537,0.42,99.58,0.002
140,18.0,2.404,0.21,99.79,0.001
141,18.0,2.586,0.42,99.58,0.002
142,18.0,2.511,0.42,99.58,0.002
143,18.0,2.493,0.42,99.58,0.002
144,18.0,2.33,0.21,99.79,0.001
145,18.0,2.442,0.42,99.58,0.002
146,18.0,2.444,0.21,99.79,0.001
147,18.0,2.299,0.21,99.79,0.001
148,18.0,2.232,0.21,99.79,0.001
149,18.0,2.184,0.21,99.79,0.001
150,18.0,2.527,0.42,99.58,0.002
151,18.0,2.413,0.42,99.58,0.002
152,18.0,2.091,0.21,99.79,0.001
153,18.0,2.367,0.42,99.58,0.002
154,18.0,2.419,0.21,99.79,0.001
155,18.0,2.166,0.21,99.79,0.001
156,18.0,2.057,0.0,100.0,0.0
157,18.0,2.11,0.21,99.79,0.001
158,18.0,2.64,0.42,99.58,0.002
159,18.0,2.229,0.21,99.79,0.001
160,18.0,2.519,0.21,99.79,0.001
161,18.0,2.546,0.42,99.58,0.002
162,18.0,2.685,0.42,99.58,0.002
163,18.0,2.695,0.21,99.79,0.001
164,18.0,2.313,0.21,99.79,0.001
165,18.0,2.209,0.21,99.79,0.001
166,18.0,2.242,0.21,99.79,0.001
167,18.0,2.332,0.21,99.79,0.001
168,18.0,2.428,0.42,99.58,0.002
169,18.0,2.55,0.21,99.79,0.001
170,18.0,2.721,0.63,99.37,0.003
171,18.0,3.028,0.42,99.58,0.002
172,18.0,2.161,0.21,99.79,0.001
173,18.0,2.172,0.21,99.79,0.001
174,18.0,2.107,0.21,99.79,0.001
175,18.0,2.471,0.42,99.58,0.002
176,18.0,2.644,0.42,99.58,0.002
177,18.0,2.197,0.21,99.79,0.001
178,18.0,2.548,0.42,99.58,0.002
179,18.0,2.298,0.21,99.79,0.001
