iter,fitness,time,XPL,XPT,DIV
0,120493.0,0.086,100.0,0.0,0.475
1,29855.0,0.785,57.89,42.11,0.275
2,17949.0,0.787,27.79,72.21,0.132
3,8714.0,0.753,13.89,86.11,0.066
4,4211.0,0.783,6.95,93.05,0.033
5,1628.0,0.772,3.58,96.42,0.017
6,1017.0,0.863,1.68,98.32,0.008
7,410.0,1.572,1.26,98.74,0.006
8,54.0,2.083,1.05,98.95,0.005
9,26.0,2.29,0.84,99.16,0.004
10,16.0,2.422,0.63,99.37,0.003
11,15.0,2.857,0.63,99.37,0.003
12,15.0,2.96,0.63,99.37,0.003
13,15.0,2.973,0.63,99.37,0.003
14,15.0,2.712,0.63,99.37,0.003
15,15.0,2.834,0.63,99.37,0.003
16,15.0,2.933,0.63,99.37,0.003
17,15.0,2.922,0.63,99.37,0.003
18,15.0,2.976,0.63,99.37,0.003
19,15.0,2.955,0.63,99.37,0.003
