iter,fitness,time,XPL,XPT,DIV
0,22626.0,0.009,100.0,0.0,0.473
1,12548.0,0.161,44.61,55.39,0.211
2,7007.0,0.339,26.22,73.78,0.124
3,4045.0,0.757,19.03,80.97,0.09
4,2270.0,0.938,12.9,87.1,0.061
5,1324.0,1.0,8.03,91.97,0.038
6,821.0,1.052,5.07,94.93,0.024
7,527.0,0.932,2.96,97.04,0.014
8,454.0,1.029,1.9,98.1,0.009
9,440.0,0.985,1.48,98.52,0.007
10,438.0,0.945,1.06,98.94,0.005
11,438.0,0.945,1.27,98.73,0.006
12,436.0,0.911,1.06,98.94,0.005
13,436.0,1.004,1.06,98.94,0.005
14,436.0,0.952,1.06,98.94,0.005
15,435.0,0.976,1.06,98.94,0.005
16,435.0,0.968,1.06,98.94,0.005
17,435.0,0.975,1.06,98.94,0.005
18,435.0,0.976,1.06,98.94,0.005
19,435.0,0.955,1.06,98.94,0.005
20,435.0,1.036,1.27,98.73,0.006
21,435.0,0.944,1.06,98.94,0.005
22,434.0,0.921,1.06,98.94,0.005
23,434.0,0.988,1.06,98.94,0.005
24,434.0,0.988,1.27,98.73,0.006
25,434.0,0.99,1.06,98.94,0.005
26,434.0,1.031,1.06,98.94,0.005
27,434.0,0.992,1.06,98.94,0.005
28,434.0,0.925,1.06,98.94,0.005
29,434.0,0.959,1.06,98.94,0.005
30,434.0,0.988,1.27,98.73,0.006
31,434.0,0.959,1.06,98.94,0.005
32,434.0,0.986,1.06,98.94,0.005
33,434.0,1.015,1.06,98.94,0.005
34,434.0,0.939,1.06,98.94,0.005
35,434.0,1.003,1.06,98.94,0.005
36,434.0,0.99,1.27,98.73,0.006
37,434.0,0.977,1.27,98.73,0.006
38,434.0,1.003,1.27,98.73,0.006
39,434.0,0.962,1.06,98.94,0.005
40,434.0,1.048,1.27,98.73,0.006
41,434.0,0.97,1.06,98.94,0.005
42,434.0,0.925,1.06,98.94,0.005
43,434.0,1.065,1.06,98.94,0.005
44,434.0,1.006,1.06,98.94,0.005
45,434.0,0.937,1.06,98.94,0.005
