iter,fitness,time,XPL,XPT,DIV
0,332.0,0.037,100.0,0.0,0.475
1,204.0,0.201,41.26,58.74,0.196
2,131.0,0.195,24.84,75.16,0.118
3,79.0,0.509,16.63,83.37,0.079
4,56.0,1.388,11.37,88.63,0.054
5,42.0,1.954,10.32,89.68,0.049
6,36.0,2.393,9.26,90.74,0.044
7,34.0,3.16,9.68,90.32,0.046
8,31.0,2.705,7.79,92.21,0.037
9,31.0,2.948,8.0,92.0,0.038
10,31.0,3.038,8.0,92.0,0.038
11,31.0,2.751,7.37,92.63,0.035
12,31.0,3.161,8.84,91.16,0.042
13,31.0,3.014,8.63,91.37,0.041
14,31.0,3.015,8.84,91.16,0.042
15,30.0,2.933,8.0,92.0,0.038
16,30.0,3.332,9.47,90.53,0.045
17,30.0,3.203,8.0,92.0,0.038
18,30.0,3.254,8.84,91.16,0.042
19,30.0,3.269,8.42,91.58,0.04
20,30.0,2.789,6.32,93.68,0.03
21,30.0,3.244,8.63,91.37,0.041
22,30.0,2.952,7.37,92.63,0.035
23,30.0,2.983,7.16,92.84,0.034
24,30.0,2.978,7.58,92.42,0.036
25,30.0,2.791,6.74,93.26,0.032
26,30.0,3.103,8.0,92.0,0.038
27,30.0,3.096,7.79,92.21,0.037
28,30.0,3.144,8.0,92.0,0.038
29,30.0,3.103,8.0,92.0,0.038
30,30.0,2.645,6.32,93.68,0.03
31,30.0,2.873,6.53,93.47,0.031
32,30.0,3.175,8.0,92.0,0.038
33,30.0,3.179,7.37,92.63,0.035
34,30.0,2.853,6.32,93.68,0.03
35,30.0,3.259,8.42,91.58,0.04
36,30.0,3.071,6.53,93.47,0.031
37,30.0,3.157,7.16,92.84,0.034
38,30.0,3.173,6.53,93.47,0.031
39,30.0,3.004,6.53,93.47,0.031
40,30.0,3.096,7.79,92.21,0.037
41,30.0,3.041,7.37,92.63,0.035
42,30.0,3.005,6.95,93.05,0.033
43,30.0,2.571,5.05,94.95,0.024
44,30.0,3.163,6.74,93.26,0.032
45,30.0,3.297,7.58,92.42,0.036
46,30.0,2.903,6.53,93.47,0.031
47,30.0,2.767,5.68,94.32,0.027
48,30.0,2.89,6.74,93.26,0.032
