iter,fitness,time,XPL,XPT,DIV
0,540.0,5.628,100.0,0.0,0.475
1,469.0,16.433,56.0,44.0,0.266
2,435.0,18.205,42.74,57.26,0.203
3,421.0,22.077,35.79,64.21,0.17
4,413.0,20.328,30.11,69.89,0.143
5,406.0,20.295,25.89,74.11,0.123
6,401.0,21.814,25.05,74.95,0.119
7,396.0,18.008,19.58,80.42,0.093
8,394.0,19.565,17.89,82.11,0.085
9,392.0,20.838,20.0,80.0,0.095
10,389.0,18.534,17.26,82.74,0.082
11,388.0,18.645,16.42,83.58,0.078
12,388.0,18.287,17.05,82.95,0.081
13,386.0,18.362,15.58,84.42,0.074
14,386.0,18.912,16.84,83.16,0.08
15,384.0,17.89,13.89,86.11,0.066
16,382.0,18.756,15.79,84.21,0.075
17,381.0,17.35,12.21,87.79,0.058
18,381.0,17.882,11.37,88.63,0.054
19,381.0,17.416,11.16,88.84,0.053
20,380.0,17.909,13.26,86.74,0.063
