mh,experimento,clr10 (25),,,clr11 (23),,,clr12 (23),,,cyc06 (60),,,cyc07 (144),,,u41 (38),,,u51 (34),,,u61 (21),,,ub1 (22),,,ud1 (24),,,unre1 (16),,,unrf1 (10),,
,,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev
GWO,STD,29.0,30.77,0.66,30.0,30.94,0.44,32.0,32.58,0.49,60.0,61.39,0.83,153.0,172.0,5.73,40.0,41.94,1.92,36.0,39.29,2.1,22.0,24.23,0.83,26.0,27.74,0.67,29.0,30.94,0.72,19.0,19.81,0.53,11.0,11.0,0.0
GWO,STD_LOG,31.0,32.71,0.85,31.0,32.97,0.78,33.0,34.77,0.66,71.0,72.58,0.94,184.0,189.16,1.72,51.0,53.0,1.11,46.0,49.06,1.29,26.0,27.68,0.64,29.0,31.1,0.86,33.0,34.61,0.75,21.0,21.58,0.55,11.0,11.61,0.49
GWO,STD_PIECE,29.0,30.71,0.63,30.0,31.0,0.51,31.0,32.58,0.66,60.0,61.58,0.79,154.0,171.52,5.75,39.0,41.71,1.44,35.0,38.23,2.0,21.0,23.32,1.51,27.0,27.61,0.49,29.0,30.71,0.73,19.0,19.84,0.45,11.0,11.0,0.0
GWO,STD_SINE,32.0,33.94,0.76,33.0,34.74,0.84,34.0,36.32,0.96,73.0,75.39,1.04,194.0,196.84,1.44,53.0,57.35,1.81,50.0,54.0,1.7,27.0,29.74,1.08,31.0,33.58,0.91,35.0,37.68,1.03,21.0,22.74,0.72,12.0,12.03,0.18
GWO,STD_SINGER,28.0,28.52,0.5,27.0,27.84,0.37,28.0,29.32,0.59,62.0,63.13,0.75,158.0,162.1,1.17,38.0,39.23,0.61,35.0,35.45,0.5,21.0,21.16,0.37,22.0,22.61,0.49,26.0,26.16,0.37,17.0,17.81,0.4,10.0,10.03,0.18
GWO,STD_SINU,26.0,27.29,0.52,23.0,24.58,0.71,26.0,26.19,0.47,60.0,60.81,0.78,144.0,147.68,2.58,38.0,39.19,0.47,35.0,35.0,0.0,21.0,21.0,0.0,22.0,22.0,0.0,24.0,24.97,0.18,17.0,17.0,0.0,10.0,10.0,0.0
GWO,STD_TENT,28.0,30.19,0.9,24.0,30.48,1.32,31.0,32.19,0.53,60.0,61.19,0.86,153.0,167.35,5.44,39.0,41.1,1.38,36.0,38.32,1.86,22.0,23.42,0.91,25.0,27.35,0.86,29.0,30.94,0.62,19.0,19.77,0.42,11.0,11.0,0.0
GWO,STD_CIRCLE,25.0,26.94,1.16,23.0,27.94,1.87,29.0,30.94,0.67,60.0,62.23,1.21,151.0,154.23,1.77,40.0,42.39,1.16,36.0,38.19,0.82,22.0,23.35,0.54,24.0,25.26,0.62,27.0,28.65,0.86,18.0,19.13,0.42,11.0,11.0,0.0
GWO,ELIT,25.0,25.32,0.74,23.0,24.74,1.9,23.0,25.77,1.86,60.0,61.16,0.88,146.0,151.45,1.64,39.0,40.42,0.79,36.0,36.77,0.71,21.0,21.94,0.44,23.0,23.45,0.61,25.0,26.03,0.59,17.0,17.45,0.5,10.0,10.61,0.49
GWO,ELIT_LOG,25.0,25.32,0.64,23.0,24.06,1.64,23.0,25.68,2.07,60.0,61.13,0.91,149.0,151.55,1.24,39.0,40.16,0.77,35.0,36.23,0.55,21.0,21.77,0.49,23.0,23.29,0.45,25.0,25.94,0.62,17.0,17.52,0.5,10.0,10.52,0.5
GWO,ELIT_PIECE,25.0,25.16,0.45,23.0,24.68,1.77,23.0,25.39,2.17,60.0,61.29,0.92,146.0,151.45,1.91,40.0,40.71,0.89,36.0,36.9,0.69,21.0,21.9,0.53,22.0,23.19,0.64,25.0,26.03,0.54,17.0,17.55,0.5,10.0,10.58,0.49
GWO,ELIT_SINE,25.0,25.19,0.53,23.0,25.23,1.81,23.0,26.52,2.06,60.0,61.13,0.98,147.0,151.58,1.64,39.0,40.48,0.88,36.0,36.55,0.5,21.0,22.0,0.51,23.0,23.45,0.5,25.0,26.32,0.59,17.0,17.68,0.47,10.0,10.65,0.48
GWO,ELIT_SINGER,25.0,25.29,0.58,23.0,23.0,0.0,23.0,24.65,1.0,60.0,60.74,0.84,144.0,149.26,2.83,38.0,39.42,0.61,35.0,35.48,0.5,21.0,21.19,0.4,22.0,22.48,0.5,25.0,25.03,0.18,17.0,17.16,0.37,10.0,10.68,0.47
GWO,ELIT_SINU,27.0,27.65,0.6,23.0,24.1,0.82,26.0,27.35,0.82,60.0,60.45,0.76,144.0,148.35,2.97,38.0,39.23,0.49,35.0,35.32,0.47,21.0,21.06,0.25,22.0,22.55,0.56,25.0,25.06,0.25,17.0,17.19,0.4,10.0,10.71,0.45
GWO,ELIT_TENT,25.0,25.42,0.75,23.0,24.71,1.89,23.0,26.26,2.03,60.0,61.42,0.79,144.0,151.13,2.04,39.0,40.68,0.82,35.0,36.58,0.71,21.0,22.0,0.57,22.0,23.45,0.61,25.0,26.16,0.57,17.0,17.58,0.49,10.0,10.52,0.5
GWO,ELIT_CIRCLE,25.0,25.94,1.19,23.0,26.61,1.54,23.0,27.68,1.57,60.0,61.81,1.06,144.0,153.32,2.58,39.0,41.45,0.91,36.0,37.58,0.87,21.0,22.48,0.62,23.0,24.06,0.62,26.0,26.84,0.51,17.0,17.9,0.39,10.0,10.71,0.45
