, ,knapPI_1_1000_1000_1, , ,knapPI_1_100_1000_1, , ,knapPI_1_2000_1000_1, , ,knapPI_1_200_1000_1, , ,knapPI_1_500_1000_1, , ,knapPI_2_1000_1000_1, , ,knapPI_2_100_1000_1, , ,knapPI_2_2000_1000_1, , ,knapPI_2_200_1000_1, , ,knapPI_2_500_1000_1, , ,knapPI_3_1000_1000_1, , ,knapPI_3_100_1000_1, , ,knapPI_3_2000_1000_1, , ,knapPI_3_200_1000_1, , ,knapPI_3_500_1000_1, , 
experiment ,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD 
GWO S2-STD,53838.0,53373.613,1.22,9147.0,9147.0,0.0,106338.0,104652.935,3.875,11238.0,11238.0,0.0,28857.0,28834.774,0.0,9030.0,9010.29,0.243,1512.0,1512.0,0.132,17818.0,17725.677,1.291,1634.0,1634.0,0.0,4566.0,4561.29,0.0,14189.0,14101.645,1.397,2397.0,2397.0,0.0,27910.0,27679.806,3.489,2697.0,2697.0,0.0,7117.0,7112.129,0.0 
GWO S2-STD_LOG,52617.0,52172.355,3.46,9147.0,9147.0,0.0,103254.0,101973.0,6.663,11238.0,11238.0,0.0,28834.0,28689.065,0.08,8997.0,8965.71,0.608,1512.0,1512.0,0.132,17640.0,17548.258,2.277,1634.0,1634.0,0.0,4566.0,4557.355,0.0,13988.0,13904.226,2.794,2397.0,2397.0,0.0,27315.0,27116.548,5.547,2697.0,2697.0,0.0,7017.0,7016.935,1.405 
GWO S2-STD_PIECE,53702.0,53227.484,1.47,9147.0,9147.0,0.0,105308.0,104361.613,4.806,11238.0,11238.0,0.0,28857.0,28831.258,0.0,9033.0,9011.419,0.21,1512.0,1512.0,0.132,17778.0,17704.645,1.512,1634.0,1634.0,0.0,4566.0,4566.0,0.0,14189.0,14101.613,1.397,2397.0,2397.0,0.0,27811.0,27652.323,3.831,2697.0,2697.0,0.0,7117.0,7104.71,0.0 
GWO S2-STD_SINE,53673.0,52915.032,1.523,9147.0,9147.0,0.0,104502.0,103313.387,5.535,11238.0,11238.0,0.0,28857.0,28758.323,0.0,9029.0,8991.516,0.254,1512.0,1512.0,0.132,17706.0,17648.097,1.911,1634.0,1634.0,0.0,4566.0,4566.0,0.0,14187.0,14067.839,1.411,2397.0,2397.0,0.0,27616.0,27408.871,4.506,2697.0,2697.0,0.0,7117.0,7062.871,0.0 
GWO S2-STD_SINGER,49162.0,48070.29,9.799,9147.0,9147.0,0.0,94623.0,91299.226,14.465,11238.0,11238.0,0.0,28328.0,27587.419,1.833,8888.0,8778.581,1.812,1512.0,1512.0,0.132,17081.0,16891.935,5.374,1634.0,1633.935,0.0,4544.0,4516.774,0.482,13387.0,13219.484,6.97,2397.0,2397.0,0.0,25815.0,25341.323,10.733,2697.0,2697.0,0.0,6914.0,6824.548,2.852 
GWO S2-STD_SINU,48934.0,46859.129,10.218,9147.0,9147.0,0.0,95130.0,90711.0,14.007,11238.0,11238.0,0.0,27513.0,26267.645,4.657,8738.0,8594.29,3.469,1512.0,1512.0,0.132,16932.0,16712.71,6.199,1634.0,1633.355,0.0,4534.0,4460.935,0.701,13381.0,13052.452,7.012,2397.0,2397.0,0.0,25818.0,25276.29,10.723,2697.0,2697.0,0.0,6816.0,6664.065,4.229 
GWO S2-STD_TENT,53760.0,53386.548,1.363,9147.0,9147.0,0.0,106008.0,105053.065,4.174,11238.0,11238.0,0.0,28857.0,28829.548,0.0,9032.0,9006.065,0.221,1512.0,1512.0,0.132,17787.0,17711.032,1.463,1634.0,1634.0,0.0,4566.0,4561.968,0.0,14188.0,14118.032,1.404,2397.0,2397.0,0.0,28112.0,27790.548,2.791,2697.0,2697.0,0.0,7117.0,7108.29,0.0 
GWO S2-STD_CIRCLE,54264.0,54064.484,0.439,9147.0,9147.0,0.0,108462.0,108065.452,1.955,11238.0,11238.0,0.0,28857.0,28850.323,0.0,9028.0,9011.258,0.265,1512.0,1512.0,0.132,17970.0,17923.355,0.449,1634.0,1632.968,0.0,4557.0,4551.258,0.197,14290.0,14288.0,0.695,2397.0,2396.097,0.0,28419.0,28334.065,1.729,2697.0,2697.0,0.0,7117.0,7117.0,0.0 
GWO S2-COM,49922.0,47741.871,8.405,9147.0,9147.0,0.0,94380.0,90898.935,14.685,11238.0,11237.645,0.0,28132.0,27365.097,2.512,8764.0,8702.226,3.182,1512.0,1512.0,0.132,16945.0,16804.742,6.127,1634.0,1634.0,0.0,4554.0,4503.226,0.263,13383.0,13128.71,6.998,2397.0,2396.968,0.0,25818.0,25310.355,10.723,2697.0,2696.774,0.0,6915.0,6767.806,2.838 
GWO S2-COM_LOG,50637.0,47340.677,7.093,9147.0,9147.0,0.0,95370.0,91262.032,13.79,11238.0,11233.129,0.0,27389.0,26985.839,5.087,8826.0,8672.258,2.497,1512.0,1512.0,0.132,17215.0,16740.581,4.631,1634.0,1634.0,0.0,4514.0,4478.548,1.139,13485.0,13076.613,6.289,2397.0,2396.516,0.0,25618.0,25276.065,11.415,2697.0,2696.645,0.0,6909.0,6734.871,2.923 
