mh,experimento,clr10 (25),,,clr11 (23),,,clr12 (23),,,cyc06 (60),,,cyc07 (144),,,u41 (38),,,u51 (34),,,u61 (21),,,ub1 (22),,,ud1 (24),,,unre1 (16),,,unrf1 (10),,
,,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev,best,avg,std-dev
PSO,STD,28.0,30.29,1.08,29.0,31.0,1.11,31.0,32.87,0.87,60.0,65.52,2.55,162.0,170.32,4.3,43.0,47.1,2.1,37.0,42.0,2.2,22.0,25.13,1.41,24.0,28.65,1.36,29.0,31.84,1.27,19.0,20.74,0.62,11.0,11.48,0.5
PSO,STD_LOG,29.0,30.65,0.82,29.0,30.48,0.76,30.0,32.26,0.98,64.0,67.61,2.09,166.0,171.77,2.78,42.0,46.23,2.38,39.0,42.39,2.21,22.0,24.84,1.17,26.0,27.94,1.05,27.0,31.06,1.29,19.0,20.1,0.59,11.0,11.32,0.47
PSO,STD_PIECE,28.0,30.61,1.01,28.0,30.71,0.99,31.0,32.52,0.84,62.0,65.87,2.11,163.0,172.29,3.48,44.0,46.68,1.75,37.0,42.23,2.39,22.0,25.19,1.23,26.0,27.97,1.15,28.0,31.71,1.37,19.0,20.71,0.68,11.0,11.58,0.49
PSO,STD_SINE,29.0,30.74,0.88,29.0,30.87,0.91,30.0,32.42,1.01,63.0,67.55,2.18,162.0,171.32,3.89,41.0,46.65,2.53,38.0,43.0,2.48,22.0,25.45,1.6,26.0,28.55,1.1,29.0,31.68,1.15,20.0,20.81,0.64,11.0,11.52,0.5
PSO,STD_SINGER,28.0,29.48,0.67,28.0,29.23,0.66,29.0,30.68,0.82,62.0,65.16,1.39,160.0,165.29,2.44,42.0,43.55,1.32,38.0,39.58,0.91,21.0,22.94,0.76,24.0,25.42,0.75,27.0,28.35,0.65,18.0,18.77,0.42,10.0,10.94,0.25
PSO,STD_SINU,27.0,28.84,0.81,25.0,28.68,0.78,29.0,30.19,0.47,62.0,63.77,0.94,156.0,162.29,1.99,40.0,42.0,1.22,35.0,37.97,1.09,21.0,22.16,0.45,22.0,24.32,0.78,25.0,27.35,0.7,17.0,18.1,0.39,10.0,10.68,0.47
PSO,STD_TENT,26.0,30.52,1.29,29.0,30.77,0.94,30.0,32.48,0.95,62.0,66.06,2.84,162.0,171.97,4.9,40.0,46.39,2.78,39.0,42.9,2.2,22.0,24.65,1.26,25.0,28.65,1.49,29.0,31.84,1.3,19.0,20.71,0.63,11.0,11.65,0.48
PSO,STD_CIRCLE,25.0,30.29,1.65,29.0,31.0,0.92,30.0,32.23,0.87,62.0,65.06,1.79,156.0,174.0,6.56,42.0,46.77,2.42,39.0,42.71,2.1,23.0,25.55,1.29,27.0,29.16,1.3,27.0,28.87,0.98,18.0,19.35,0.65,11.0,11.39,0.49
PSO,ELIT,25.0,25.77,1.07,23.0,26.0,1.74,23.0,27.87,1.26,60.0,61.68,1.06,150.0,153.29,1.85,40.0,41.26,1.01,36.0,37.29,0.85,21.0,22.35,0.65,23.0,24.1,0.69,26.0,27.0,0.72,17.0,18.06,0.35,10.0,10.87,0.34
PSO,ELIT_LOG,25.0,25.55,0.84,23.0,25.32,1.97,23.0,27.19,1.73,60.0,61.03,0.97,144.0,151.74,1.97,40.0,40.87,0.87,36.0,37.0,0.62,21.0,22.23,0.49,23.0,23.71,0.63,25.0,26.39,0.61,17.0,17.9,0.3,10.0,10.68,0.47
PSO,ELIT_PIECE,25.0,25.58,0.83,23.0,25.77,1.96,23.0,27.55,1.34,60.0,61.55,0.98,147.0,152.39,2.25,40.0,41.55,1.1,36.0,37.68,0.86,21.0,22.32,0.53,24.0,24.58,0.55,26.0,26.77,0.61,17.0,17.97,0.31,10.0,10.74,0.44
PSO,ELIT_SINE,25.0,25.68,1.03,23.0,25.48,1.86,23.0,27.65,1.23,60.0,61.39,0.97,149.0,152.65,1.51,40.0,41.19,0.64,36.0,37.29,0.92,21.0,22.35,0.6,23.0,24.0,0.44,26.0,26.81,0.64,17.0,17.87,0.34,10.0,10.68,0.47
PSO,ELIT_SINGER,25.0,25.19,0.47,23.0,23.84,1.5,23.0,26.23,2.01,60.0,61.23,0.79,144.0,150.65,2.6,38.0,39.97,0.86,35.0,36.26,0.62,21.0,21.39,0.49,22.0,23.03,0.54,25.0,25.58,0.49,17.0,17.16,0.37,10.0,10.52,0.5
PSO,ELIT_SINU,25.0,25.16,0.51,23.0,23.16,0.57,23.0,24.71,1.57,60.0,60.87,0.87,144.0,150.68,1.92,38.0,39.74,0.72,35.0,35.77,0.55,21.0,21.39,0.49,22.0,22.71,0.45,25.0,25.1,0.3,17.0,17.0,0.0,10.0,10.45,0.5
PSO,ELIT_TENT,25.0,25.55,1.13,23.0,26.29,1.78,23.0,28.03,1.12,60.0,61.55,0.91,147.0,152.39,1.91,40.0,41.52,0.95,36.0,37.32,1.06,21.0,22.39,0.61,23.0,24.26,0.67,26.0,26.87,0.55,17.0,18.0,0.25,10.0,10.58,0.49
PSO,ELIT_CIRCLE,25.0,27.48,1.07,24.0,27.84,0.92,27.0,28.84,0.68,60.0,63.45,1.62,155.0,158.71,2.26,42.0,43.71,1.02,37.0,39.26,1.22,22.0,23.55,0.61,24.0,25.23,0.83,26.0,27.94,0.91,18.0,18.48,0.5,10.0,10.94,0.25
