mh,experimento,clr10,clr11,clr12,cyc06,cyc07,u41,u51,u61,ub1,ud1,unre1,unrf1,average
GWO,STD,23.1,34.5,41.65,2.31,19.44,10.36,15.56,15.36,26.1,28.9,23.79,10.0,20.92
GWO,STD_LOG,30.84,43.34,51.19,20.97,31.36,39.47,44.31,31.8,41.35,44.22,34.88,16.13,35.82
GWO,STD_PIECE,22.84,34.78,41.65,2.63,19.11,9.76,12.43,11.06,25.51,27.96,23.99,10.0,20.14
GWO,STD_SINE,35.74,51.05,57.92,25.65,36.69,50.93,58.82,41.63,52.64,56.99,42.14,20.32,44.21
GWO,STD_SINGER,14.06,21.04,27.49,5.22,12.57,3.23,4.27,0.77,2.79,9.01,11.29,0.32,9.34
GWO,STD_SINU,9.16,6.87,13.88,1.34,2.55,3.14,2.94,0.0,0.0,4.03,6.25,0.0,4.18
GWO,STD_TENT,20.77,32.54,39.97,1.99,16.22,8.15,12.71,11.52,24.34,28.9,23.59,10.0,19.23
GWO,STD_CIRCLE,7.74,21.46,34.5,3.71,7.1,11.54,12.33,11.21,14.81,19.35,19.56,10.0,14.44
GWO,ELIT,1.29,7.57,12.06,1.94,5.17,6.37,8.16,4.45,6.6,8.47,9.07,6.13,6.44
GWO,ELIT_LOG,1.29,4.63,11.64,1.88,5.24,5.69,6.55,3.69,5.87,8.06,9.48,5.16,5.76
GWO,ELIT_PIECE,0.65,7.29,10.38,2.15,5.17,7.13,8.54,4.3,5.43,8.47,9.68,5.81,6.25
GWO,ELIT_SINE,0.77,9.68,15.29,1.88,5.26,6.54,7.5,4.76,6.6,9.68,10.48,6.45,7.07
GWO,ELIT_SINGER,1.16,0.0,7.15,1.24,3.65,3.74,4.36,0.92,2.2,4.3,7.26,6.77,3.56
GWO,ELIT_SINU,10.58,4.77,18.93,0.75,3.02,3.23,3.89,0.31,2.49,4.44,7.46,7.1,5.58
GWO,ELIT_TENT,1.68,7.43,14.17,2.37,4.95,7.05,7.59,4.76,6.6,9.01,9.88,5.16,6.72
GWO,ELIT_CIRCLE,3.74,15.71,20.34,3.01,6.47,9.08,10.53,7.07,9.38,11.83,11.9,7.1,9.68
