experimento,clr10,clr11,clr12,cyc06,cyc07,u41,u51,u61,ub1,ud1,unre1,unrf1,total
PSO V3-STD,3.0,2.0,2.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,30.0
PSO V3-STD_LOG,2.0,6.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,6.0,6.0,4.0,46.0
PSO V3-STD_PIECE,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,29.0
PSO V3-STD_SINE,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,26.0
PSO V3-STD_SINGER,11.0,11.0,11.0,4.0,11.0,8.0,8.0,12.0,11.0,11.0,12.0,8.0,118.0
PSO V3-STD_SINU,12.0,12.0,13.0,9.0,12.0,10.0,11.0,15.0,14.0,14.0,14.0,15.0,151.0
PSO V3-STD_TENT,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,27.0
PSO V3-STD_CIRCLE,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,10.0,10.0,3.0,46.0
PSO V3-ELIT,18.0,16.0,16.0,13.0,16.0,12.0,15.0,14.0,15.0,15.0,14.0,12.0,176.0
PSO V3-ELIT_LOG,18.0,18.0,18.0,18.0,19.0,18.0,17.0,15.0,20.0,20.0,16.0,15.0,212.0
PSO V3-ELIT_PIECE,18.0,16.0,17.0,13.0,17.0,11.0,12.0,14.0,14.0,15.0,14.0,14.0,175.0
PSO V3-ELIT_SINE,18.0,18.0,16.0,13.0,17.0,12.0,14.0,14.0,17.0,15.0,16.0,15.0,185.0
PSO V3-ELIT_SINGER,23.0,28.0,23.0,15.0,22.0,25.0,25.0,26.0,25.0,27.0,27.0,16.0,282.0
PSO V3-ELIT_SINU,23.0,30.0,29.0,22.0,26.0,26.0,27.0,26.0,27.0,28.0,30.0,22.0,316.0
PSO V3-ELIT_TENT,18.0,16.0,16.0,13.0,17.0,11.0,15.0,14.0,15.0,15.0,14.0,15.0,179.0
PSO V3-ELIT_CIRCLE,14.0,13.0,15.0,9.0,14.0,8.0,8.0,9.0,11.0,13.0,13.0,8.0,135.0
GWO V3-STD,2.0,2.0,2.0,14.0,2.0,11.0,8.0,7.0,6.0,6.0,7.0,8.0,75.0
GWO V3-STD_LOG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
GWO V3-STD_PIECE,2.0,2.0,2.0,13.0,2.0,11.0,11.0,9.0,6.0,6.0,7.0,8.0,79.0
GWO V3-STD_SINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO V3-STD_SINGER,13.0,14.0,14.0,10.0,12.0,28.0,28.0,28.0,27.0,21.0,18.0,30.0,243.0
GWO V3-STD_SINU,15.0,21.0,25.0,24.0,30.0,28.0,31.0,30.0,31.0,30.0,30.0,30.0,325.0
GWO V3-STD_TENT,5.0,4.0,6.0,16.0,10.0,17.0,11.0,9.0,9.0,6.0,7.0,8.0,108.0
GWO V3-STD_CIRCLE,16.0,13.0,11.0,12.0,15.0,10.0,11.0,9.0,11.0,10.0,11.0,8.0,137.0
GWO V3-ELIT,20.0,20.0,23.0,16.0,21.0,21.0,20.0,21.0,21.0,22.0,23.0,15.0,243.0
GWO V3-ELIT_LOG,19.0,25.0,23.0,18.0,21.0,23.0,25.0,22.0,21.0,22.0,22.0,16.0,257.0
GWO V3-ELIT_PIECE,23.0,20.0,24.0,14.0,21.0,19.0,19.0,21.0,21.0,22.0,22.0,15.0,241.0
GWO V3-ELIT_SINE,23.0,19.0,21.0,16.0,21.0,19.0,22.0,20.0,20.0,20.0,21.0,15.0,237.0
GWO V3-ELIT_SINGER,20.0,31.0,29.0,26.0,29.0,28.0,28.0,28.0,28.0,28.0,27.0,15.0,317.0
GWO V3-ELIT_SINU,14.0,24.0,20.0,30.0,29.0,28.0,28.0,28.0,27.0,28.0,27.0,14.0,297.0
GWO V3-ELIT_TENT,19.0,21.0,23.0,13.0,21.0,19.0,21.0,19.0,20.0,21.0,22.0,16.0,235.0
GWO V3-ELIT_CIRCLE,18.0,16.0,16.0,12.0,15.0,12.0,13.0,14.0,15.0,15.0,15.0,14.0,175.0
