experimento,clr10,clr11,clr12,cyc06,cyc07,u41,u51,u61,ub1,ud1,unre1,unrf1,total
GWO V3-STD,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,28.0
GWO V3-STD_LOG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
GWO V3-STD_PIECE,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,29.0
GWO V3-STD_SINE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWO V3-STD_SINGER,5.0,6.0,6.0,2.0,5.0,12.0,12.0,12.0,12.0,7.0,6.0,14.0,99.0
GWO V3-STD_SINU,7.0,8.0,11.0,10.0,14.0,12.0,15.0,14.0,15.0,14.0,15.0,14.0,149.0
GWO V3-STD_TENT,4.0,4.0,4.0,6.0,4.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,43.0
GWO V3-STD_CIRCLE,7.0,5.0,5.0,3.0,6.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,51.0
GWO V3-ELIT,10.0,8.0,9.0,6.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,6.0,92.0
GWO V3-ELIT_LOG,10.0,11.0,9.0,6.0,8.0,9.0,11.0,8.0,7.0,8.0,8.0,6.0,101.0
GWO V3-ELIT_PIECE,10.0,8.0,10.0,5.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,90.0
GWO V3-ELIT_SINE,10.0,8.0,8.0,6.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,6.0,88.0
GWO V3-ELIT_SINGER,10.0,15.0,14.0,12.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,6.0,144.0
GWO V3-ELIT_SINU,6.0,10.0,8.0,14.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,6.0,131.0
GWO V3-ELIT_TENT,10.0,8.0,9.0,4.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,87.0
GWO V3-ELIT_CIRCLE,9.0,7.0,7.0,3.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,69.0
