iter,fitness,time,XPL,XPT,DIV
0,94.0,0.014,100.0,0.0,0.474
1,45.0,0.064,47.89,52.11,0.227
2,31.0,0.133,41.35,58.65,0.196
3,29.0,0.132,36.29,63.71,0.172
4,29.0,0.124,26.58,73.42,0.126
5,28.0,0.106,19.2,80.8,0.091
6,28.0,0.107,22.36,77.64,0.106
7,28.0,0.123,23.21,76.79,0.11
8,28.0,0.092,17.09,82.91,0.081
9,28.0,0.113,19.2,80.8,0.091
10,28.0,0.087,17.93,82.07,0.085
11,28.0,0.11,20.89,79.11,0.099
12,28.0,0.091,18.57,81.43,0.088
13,27.0,0.119,21.1,78.9,0.1
14,27.0,0.1,18.99,81.01,0.09
15,27.0,0.081,11.6,88.4,0.055
16,27.0,0.1,16.88,83.12,0.08
17,27.0,0.115,14.77,85.23,0.07
18,27.0,0.103,17.72,82.28,0.084
19,27.0,0.1,16.46,83.54,0.078
20,27.0,0.105,17.72,82.28,0.084
21,27.0,0.093,14.56,85.44,0.069
22,27.0,0.105,14.98,85.02,0.071
23,27.0,0.102,16.67,83.33,0.079
24,27.0,0.092,16.03,83.97,0.076
25,27.0,0.116,19.83,80.17,0.094
26,27.0,0.109,19.83,80.17,0.094
27,27.0,0.113,21.94,78.06,0.104
28,27.0,0.115,21.94,78.06,0.104
29,27.0,0.081,12.03,87.97,0.057
30,27.0,0.116,16.03,83.97,0.076
31,27.0,0.104,20.46,79.54,0.097
32,27.0,0.106,20.68,79.32,0.098
33,27.0,0.105,16.67,83.33,0.079
34,27.0,0.104,14.77,85.23,0.07
35,27.0,0.104,16.88,83.12,0.08
36,27.0,0.107,15.19,84.81,0.072
37,27.0,0.108,15.19,84.81,0.072
38,27.0,0.127,16.67,83.33,0.079
39,27.0,0.12,16.46,83.54,0.078
40,27.0,0.114,17.72,82.28,0.084
41,27.0,0.107,19.83,80.17,0.094
42,27.0,0.112,20.89,79.11,0.099
43,27.0,0.107,22.15,77.85,0.105
44,27.0,0.114,21.52,78.48,0.102
45,27.0,0.11,23.84,76.16,0.113
46,27.0,0.111,19.62,80.38,0.093
47,27.0,0.101,14.14,85.86,0.067
48,27.0,0.084,9.28,90.72,0.044
49,27.0,0.092,12.03,87.97,0.057
50,27.0,0.093,19.41,80.59,0.092
51,27.0,0.1,14.14,85.86,0.067
52,27.0,0.107,16.46,83.54,0.078
53,27.0,0.093,14.14,85.86,0.067
54,27.0,0.109,16.24,83.76,0.077
55,27.0,0.111,12.66,87.34,0.06
56,27.0,0.109,20.68,79.32,0.098
57,27.0,0.172,20.68,79.32,0.098
58,27.0,0.111,15.4,84.6,0.073
59,27.0,0.089,13.92,86.08,0.066
60,27.0,0.1,11.81,88.19,0.056
61,27.0,0.1,16.88,83.12,0.08
62,27.0,0.119,18.78,81.22,0.089
63,27.0,0.107,16.88,83.12,0.08
64,27.0,0.085,12.24,87.76,0.058
65,27.0,0.099,13.29,86.71,0.063
66,27.0,0.102,16.67,83.33,0.079
67,27.0,0.087,14.56,85.44,0.069
68,27.0,0.1,12.24,87.76,0.058
69,27.0,0.1,15.4,84.6,0.073
70,27.0,0.106,14.98,85.02,0.071
71,27.0,0.098,16.03,83.97,0.076
72,27.0,0.1,17.93,82.07,0.085
73,27.0,0.107,22.15,77.85,0.105
74,27.0,0.111,13.29,86.71,0.063
75,27.0,0.129,20.89,79.11,0.099
76,27.0,0.099,15.61,84.39,0.074
77,27.0,0.084,16.24,83.76,0.077
78,27.0,0.112,15.82,84.18,0.075
79,27.0,0.109,17.09,82.91,0.081
80,27.0,0.097,15.19,84.81,0.072
81,27.0,0.102,18.57,81.43,0.088
82,27.0,0.079,13.5,86.5,0.064
83,27.0,0.1,16.03,83.97,0.076
84,26.0,0.1,14.56,85.44,0.069
85,26.0,0.149,21.52,78.48,0.102
86,26.0,0.106,17.93,82.07,0.085
87,26.0,0.128,17.3,82.7,0.082
88,26.0,0.084,15.19,84.81,0.072
89,26.0,0.114,14.35,85.65,0.068
90,26.0,0.086,11.81,88.19,0.056
91,26.0,0.117,18.78,81.22,0.089
92,26.0,0.083,14.14,85.86,0.067
93,26.0,0.1,12.45,87.55,0.059
94,26.0,0.1,19.83,80.17,0.094
95,26.0,0.101,13.71,86.29,0.065
96,26.0,0.099,12.03,87.97,0.057
97,26.0,0.097,11.39,88.61,0.054
98,26.0,0.092,14.77,85.23,0.07
99,25.0,0.1,13.29,86.71,0.063
100,25.0,0.125,20.25,79.75,0.096
101,25.0,0.111,16.03,83.97,0.076
102,25.0,0.111,15.19,84.81,0.072
103,25.0,0.113,14.14,85.86,0.067
104,25.0,0.108,18.35,81.65,0.087
105,25.0,0.108,18.35,81.65,0.087
106,25.0,0.084,13.29,86.71,0.063
107,25.0,0.099,16.88,83.12,0.08
108,25.0,0.1,13.71,86.29,0.065
109,25.0,0.115,13.08,86.92,0.062
110,25.0,0.085,9.49,90.51,0.045
111,25.0,0.1,10.13,89.87,0.048
112,25.0,0.106,18.35,81.65,0.087
113,25.0,0.1,13.92,86.08,0.066
114,25.0,0.104,15.4,84.6,0.073
115,25.0,0.097,15.82,84.18,0.075
116,25.0,0.102,14.14,85.86,0.067
117,25.0,0.156,13.08,86.92,0.062
118,25.0,0.084,8.23,91.77,0.039
119,25.0,0.092,18.35,81.65,0.087
120,25.0,0.1,14.77,85.23,0.07
121,25.0,0.093,13.29,86.71,0.063
122,25.0,0.103,14.35,85.65,0.068
123,25.0,0.098,12.24,87.76,0.058
124,25.0,0.099,14.35,85.65,0.068
125,25.0,0.084,16.03,83.97,0.076
126,25.0,0.1,8.02,91.98,0.038
127,25.0,0.1,13.08,86.92,0.062
128,25.0,0.105,10.55,89.45,0.05
129,25.0,0.101,16.46,83.54,0.078
