iter,fitness,time,XPL,XPT,DIV
0,236.0,0.602,100.0,0.0,0.476
1,181.0,2.873,73.11,26.89,0.348
2,170.0,2.979,54.41,45.59,0.259
3,165.0,2.692,39.5,60.5,0.188
4,162.0,2.819,34.03,65.97,0.162
5,161.0,2.423,26.89,73.11,0.128
6,160.0,2.605,25.84,74.16,0.123
7,157.0,2.592,23.74,76.26,0.113
8,157.0,2.184,13.87,86.13,0.066
9,157.0,2.106,10.92,89.08,0.052
10,157.0,2.22,11.55,88.45,0.055
11,157.0,2.232,13.45,86.55,0.064
12,156.0,2.11,13.87,86.13,0.066
13,156.0,2.452,22.06,77.94,0.105
14,155.0,2.373,11.55,88.45,0.055
15,155.0,2.44,13.03,86.97,0.062
16,155.0,2.11,13.66,86.34,0.065
17,155.0,2.161,14.08,85.92,0.067
18,155.0,2.024,13.03,86.97,0.062
19,155.0,2.204,16.81,83.19,0.08
20,155.0,2.213,14.08,85.92,0.067
21,155.0,2.202,15.13,84.87,0.072
22,155.0,2.353,14.71,85.29,0.07
23,155.0,2.302,15.97,84.03,0.076
24,155.0,2.273,14.29,85.71,0.068
25,154.0,2.301,15.55,84.45,0.074
26,154.0,2.167,11.34,88.66,0.054
27,154.0,2.302,10.92,89.08,0.052
28,154.0,2.212,13.45,86.55,0.064
29,154.0,2.229,13.24,86.76,0.063
