iter,fitness,time,XPL,XPT,DIV
0,121591.0,0.065,100.0,0.0,0.474
1,64511.0,0.731,80.8,19.2,0.383
2,64511.0,0.731,94.51,5.49,0.448
3,64511.0,0.727,89.66,10.34,0.425
4,64511.0,0.737,91.56,8.44,0.434
5,64511.0,0.745,91.14,8.86,0.432
6,64511.0,0.751,91.56,8.44,0.434
7,64511.0,0.723,91.35,8.65,0.433
8,64511.0,0.737,91.35,8.65,0.433
9,64511.0,0.732,91.14,8.86,0.432
10,64511.0,0.739,91.14,8.86,0.432
11,64511.0,0.748,91.77,8.23,0.435
12,64511.0,0.738,91.14,8.86,0.432
13,64511.0,0.719,91.14,8.86,0.432
14,64511.0,0.738,91.14,8.86,0.432
15,64511.0,0.759,91.56,8.44,0.434
16,64511.0,0.699,91.14,8.86,0.432
