iter,fitness,time,XPL,XPT,DIV
0,470.0,0.016,100.0,0.0,0.476
1,334.0,0.119,76.26,23.74,0.363
2,248.0,0.162,55.04,44.96,0.262
3,192.0,0.203,40.76,59.24,0.194
4,140.0,0.276,31.09,68.91,0.148
5,113.0,0.389,24.79,75.21,0.118
6,92.0,0.449,20.59,79.41,0.098
7,75.0,0.452,17.86,82.14,0.085
8,69.0,0.464,15.13,84.87,0.072
9,62.0,0.531,13.66,86.34,0.065
10,57.0,0.563,11.97,88.03,0.057
11,55.0,0.582,10.29,89.71,0.049
12,54.0,0.592,9.87,90.13,0.047
13,51.0,0.563,10.71,89.29,0.051
14,51.0,0.494,11.76,88.24,0.056
15,51.0,0.464,12.18,87.82,0.058
16,51.0,0.515,12.61,87.39,0.06
17,49.0,0.423,12.39,87.61,0.059
18,48.0,0.5,12.39,87.61,0.059
19,48.0,0.446,13.24,86.76,0.063
20,48.0,0.517,12.61,87.39,0.06
21,47.0,0.509,13.45,86.55,0.064
22,47.0,0.548,12.39,87.61,0.059
23,47.0,0.45,11.76,88.24,0.056
24,47.0,0.513,11.97,88.03,0.057
25,47.0,0.496,11.76,88.24,0.056
26,47.0,0.48,12.39,87.61,0.059
27,47.0,0.472,12.18,87.82,0.058
28,47.0,0.506,13.24,86.76,0.063
29,47.0,0.514,13.03,86.97,0.062
30,47.0,0.458,13.24,86.76,0.063
31,47.0,0.478,12.61,87.39,0.06
32,47.0,0.46,12.18,87.82,0.058
33,47.0,0.48,11.97,88.03,0.057
34,47.0,0.451,11.76,88.24,0.056
35,47.0,0.458,12.18,87.82,0.058
36,47.0,0.435,11.34,88.66,0.054
37,47.0,0.465,11.76,88.24,0.056
38,47.0,0.503,11.76,88.24,0.056
39,47.0,0.514,12.18,87.82,0.058
40,47.0,0.521,12.39,87.61,0.059
41,47.0,0.473,12.18,87.82,0.058
42,47.0,0.464,11.97,88.03,0.057
43,47.0,0.506,11.97,88.03,0.057
44,47.0,0.489,12.18,87.82,0.058
45,47.0,0.495,11.97,88.03,0.057
46,47.0,0.459,12.39,87.61,0.059
47,47.0,0.442,11.76,88.24,0.056
48,47.0,0.471,12.61,87.39,0.06
49,47.0,0.493,12.18,87.82,0.058
50,47.0,0.464,11.97,88.03,0.057
51,47.0,0.45,12.39,87.61,0.059
52,47.0,0.5,12.39,87.61,0.059
53,47.0,0.526,12.39,87.61,0.059
54,47.0,0.5,12.61,87.39,0.06
55,47.0,0.528,12.82,87.18,0.061
56,47.0,0.5,11.76,88.24,0.056
57,47.0,0.573,11.76,88.24,0.056
58,47.0,0.516,12.18,87.82,0.058
59,47.0,0.515,12.39,87.61,0.059
60,47.0,0.495,12.18,87.82,0.058
61,47.0,0.493,12.18,87.82,0.058
62,47.0,0.53,12.39,87.61,0.059
63,47.0,0.572,12.82,87.18,0.061
64,47.0,0.538,12.39,87.61,0.059
65,47.0,0.52,12.61,87.39,0.06
66,47.0,0.576,12.61,87.39,0.06
67,47.0,0.547,12.39,87.61,0.059
68,47.0,0.505,12.39,87.61,0.059
69,47.0,0.512,11.97,88.03,0.057
70,47.0,0.541,12.39,87.61,0.059
71,47.0,0.516,12.82,87.18,0.061
72,47.0,0.529,12.18,87.82,0.058
73,47.0,0.555,13.03,86.97,0.062
74,47.0,0.566,12.82,87.18,0.061
75,47.0,0.513,12.61,87.39,0.06
76,47.0,0.589,12.18,87.82,0.058
77,47.0,0.511,11.97,88.03,0.057
78,47.0,0.481,11.97,88.03,0.057
79,47.0,0.485,11.34,88.66,0.054
80,47.0,0.572,12.61,87.39,0.06
81,47.0,0.488,12.18,87.82,0.058
82,47.0,0.484,11.76,88.24,0.056
83,47.0,0.55,11.76,88.24,0.056
84,47.0,0.553,12.18,87.82,0.058
85,47.0,0.521,11.97,88.03,0.057
86,47.0,0.597,12.39,87.61,0.059
87,47.0,0.548,12.39,87.61,0.059
88,47.0,0.59,12.82,87.18,0.061
89,47.0,0.525,12.18,87.82,0.058
90,47.0,0.548,12.18,87.82,0.058
91,47.0,0.555,11.76,88.24,0.056
92,47.0,0.543,12.39,87.61,0.059
93,47.0,0.488,11.76,88.24,0.056
94,47.0,0.571,12.39,87.61,0.059
95,47.0,0.52,12.18,87.82,0.058
96,47.0,0.522,12.18,87.82,0.058
97,47.0,0.509,12.39,87.61,0.059
98,47.0,0.527,12.39,87.61,0.059
99,47.0,0.505,11.55,88.45,0.055
100,47.0,0.494,11.97,88.03,0.057
101,47.0,0.502,11.76,88.24,0.056
102,47.0,0.508,11.34,88.66,0.054
103,47.0,0.511,12.18,87.82,0.058
104,47.0,0.518,11.97,88.03,0.057
105,47.0,0.483,11.76,88.24,0.056
106,47.0,0.534,11.76,88.24,0.056
107,47.0,0.503,12.39,87.61,0.059
108,47.0,0.481,11.55,88.45,0.055
109,47.0,0.479,12.18,87.82,0.058
110,47.0,0.493,11.55,88.45,0.055
