iter,fitness,time,XPL,XPT,DIV
0,238.0,0.627,100.0,0.0,0.474
1,199.0,1.912,56.33,43.67,0.267
2,182.0,2.163,42.41,57.59,0.201
3,176.0,2.274,35.44,64.56,0.168
4,170.0,2.052,28.69,71.31,0.136
5,168.0,2.019,24.89,75.11,0.118
6,163.0,1.872,21.1,78.9,0.1
7,162.0,1.857,15.19,84.81,0.072
8,160.0,2.008,16.67,83.33,0.079
9,159.0,1.851,14.56,85.44,0.069
10,155.0,1.931,11.18,88.82,0.053
11,154.0,1.865,10.97,89.03,0.052
12,153.0,1.786,7.17,92.83,0.034
13,153.0,1.745,7.81,92.19,0.037
14,153.0,1.827,8.23,91.77,0.039
15,153.0,1.671,5.49,94.51,0.026
16,153.0,1.776,6.96,93.04,0.033
17,153.0,1.883,8.02,91.98,0.038
18,153.0,1.737,6.54,93.46,0.031
19,153.0,1.623,4.85,95.15,0.023
20,153.0,1.879,6.54,93.46,0.031
21,153.0,1.752,8.44,91.56,0.04
22,153.0,1.647,6.96,93.04,0.033
23,153.0,1.704,7.59,92.41,0.036
24,153.0,1.765,7.38,92.62,0.035
25,153.0,1.773,9.07,90.93,0.043
26,153.0,1.741,7.59,92.41,0.036
27,152.0,1.64,5.49,94.51,0.026
28,152.0,1.582,5.91,94.09,0.028
29,152.0,1.728,6.12,93.88,0.029
30,152.0,1.647,7.17,92.83,0.034
31,152.0,1.736,6.12,93.88,0.029
32,152.0,1.769,6.54,93.46,0.031
33,152.0,1.721,6.75,93.25,0.032
34,152.0,1.742,5.06,94.94,0.024
35,152.0,1.747,6.75,93.25,0.032
36,152.0,1.743,6.12,93.88,0.029
37,152.0,1.802,5.27,94.73,0.025
38,152.0,1.838,6.96,93.04,0.033
39,152.0,1.856,5.91,94.09,0.028
40,152.0,1.776,6.54,93.46,0.031
41,152.0,1.86,6.96,93.04,0.033
42,152.0,1.845,7.38,92.62,0.035
