, ,scp41, , , ,scp51, , , ,scp61, , , ,scpa1, , , ,scpb1, , , ,scpnre1, , , ,scpnrf1, , , 
experiment ,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD 
GWO S2-STD,22422.0,23336.613,439.86,5126.573,46336.0,48285.516,673.491,18214.625,22049.0,23203.419,500.231,15877.536,70012.0,72667.677,854.797,27572.727,70453.0,72860.097,788.815,102005.797,122122.0,124027.29,899.299,421010.345,118682.0,120399.032,1037.136,847628.571 
GWO S2-STD_LOG,21923.0,23302.968,534.492,5010.256,47282.0,48103.032,407.376,18588.538,22400.0,23422.968,413.047,16131.884,71080.0,73113.387,799.317,27994.862,70562.0,72469.903,951.325,102163.768,119636.0,123934.097,1216.187,412437.931,118777.0,120732.806,1123.221,848307.143 
GWO S2-STD_PIECE,22281.0,23261.355,431.56,5093.706,46795.0,48238.774,631.921,18396.047,22365.0,23233.903,366.974,16106.522,70903.0,73028.387,894.349,27924.901,70367.0,73013.355,737.326,101881.159,121005.0,123869.645,1239.0,417158.621,118777.0,120940.806,1024.028,848307.143 
GWO S2-STD_SINE,22484.0,23309.194,454.244,5141.026,46486.0,48104.903,738.692,18273.913,22391.0,23257.0,459.337,16125.362,70750.0,72818.548,842.466,27864.427,71285.0,72928.387,639.412,103211.594,121228.0,123835.968,1183.266,417927.586,119303.0,120887.194,872.469,852064.286 
GWO S2-STD_SINGER,12520.0,12898.452,155.655,2818.415,28780.0,29962.935,463.472,11275.494,12323.0,12842.774,202.083,8829.71,46655.0,47522.968,386.678,18340.711,47077.0,47705.032,304.36,68127.536,80608.0,81931.387,708.592,277858.621,78542.0,79878.29,611.883,560914.286 
GWO S2-STD_SINU,3026.0,3342.71,94.726,605.361,7122.0,7593.323,139.228,2715.02,2874.0,3162.774,129.899,1982.609,11675.0,12312.516,311.883,4514.625,11697.0,12320.968,289.43,16852.174,21781.0,22402.097,334.352,75006.897,20354.0,21704.935,391.894,145285.714 
GWO S2-STD_TENT,22349.0,23337.323,496.855,5109.557,46301.0,48068.839,667.819,18200.791,22470.0,23314.806,411.267,16182.609,71397.0,73079.258,717.127,28120.158,70555.0,72798.548,851.806,102153.623,121469.0,124249.613,963.735,418758.621,118331.0,120605.71,1009.003,845121.429 
GWO S2-STD_CIRCLE,21911.0,23144.129,556.26,5007.459,46739.0,48394.806,602.878,18373.913,21872.0,23260.387,488.225,15749.275,71350.0,72808.29,737.9,28101.581,71321.0,72982.355,564.071,103263.768,120987.0,123864.0,1152.92,417096.552,118311.0,120632.774,934.808,844978.571 
GWO S2-COM,11873.0,13331.516,451.48,2667.599,26223.0,27890.452,698.902,10264.822,12601.0,13503.419,376.282,9031.159,39519.0,42137.355,917.626,15520.158,40538.0,42234.742,940.663,58650.725,69098.0,71471.032,1183.693,238168.966,65416.0,69179.323,1439.61,467157.143 
GWO S2-COM_LOG,12374.0,12812.29,264.688,2784.382,25024.0,26680.323,612.816,9790.909,11913.0,12781.032,385.445,8532.609,39269.0,40692.613,733.483,15421.344,39686.0,40907.548,715.151,57415.942,66254.0,68726.032,1057.563,228362.069,65233.0,67380.129,984.773,465850.0 
